zone_id,district,latitude,longitude,population_density,hospital_count,industry_count,school_count,atm_count,outage_duration_hours,outage_hour,is_peak_hour,load_demand_kw,historical_outages,equipment_age_years,transformer_capacity_kva,weather_condition,weather_encoded,risk_level,impact_score
NUNGAMBAKKAM_Z000,Nungambakkam,13.106196301925545,80.29303063209767,6130,7,4,7,12,2.0,20,1,7361.01,2,29.24774630404986,1000,Hot,0.5,Critical,99.84
ANNA_NAGAR_Z001,Anna Nagar,13.002234422801278,80.30754660530243,5474,5,14,2,17,1.0,14,0,7476.82,6,5.331624028996663,100,Hot,0.5,Critical,86.09
TAMBARAM_Z002,Tambaram,13.16166547008553,80.29027999576222,4556,1,14,3,15,1.0,17,0,6116.85,2,18.66775698358199,1600,Hot,0.5,Medium,58.79
VELACHERY_Z003,Velachery,13.067380296141275,80.24967630363511,6275,1,13,5,17,3.0,14,0,5745.94,2,18.567402078956214,100,Clear,0.0,Medium,40.31
EGMORE_Z004,Egmore,13.04773666440535,80.31662123566761,9522,3,2,3,2,3.0,9,1,12061.86,1,26.577585646889837,1000,Clear,0.0,Critical,86.22
EGMORE_Z005,Egmore,13.095355114395277,80.30980321728524,8960,5,4,7,15,4.0,4,0,12786.23,4,5.63547816860238,1600,Clear,0.0,Critical,89.51
SAIDAPET_Z006,Saidapet,13.09056844838313,80.33218803103281,6678,3,12,4,14,0.5,18,1,9321.81,2,20.835093912760584,1000,Storm,2.0,Critical,97.85
T_NAGAR_Z007,T Nagar,13.086458124348674,80.31130379177904,11296,3,0,3,14,6.0,6,0,16492.58,2,22.31090082225676,250,Clear,0.0,Critical,86.46
GUINDY_Z008,Guindy,13.109570268940274,80.30684109031095,5563,6,13,7,3,3.0,4,0,4579.1,1,20.23910834949742,250,Clear,0.0,Critical,86.9
ANNA_NAGAR_Z009,Anna Nagar,13.124929906487605,80.33260020922795,6733,6,6,3,18,3.0,23,0,6922.68,5,17.70496941851797,1600,Storm,2.0,Critical,84.4
VELACHERY_Z010,Velachery,13.093740162319893,80.27663011567121,5488,1,7,7,19,4.0,10,1,10388.69,1,28.11734045696407,250,Clear,0.0,Medium,56.34
MYLAPORE_Z011,Mylapore,13.177432767351064,80.2274841949475,11723,1,4,3,10,1.0,18,1,18650.08,5,9.040717852365344,1000,Clear,0.0,Medium,58.8
ANNA_NAGAR_Z012,Anna Nagar,13.032792363721118,80.28867416951212,5956,3,3,1,5,1.0,20,1,10329.22,2,23.023498106303233,100,Clear,0.0,Critical,92.73
ADYAR_Z013,Adyar,13.038612068359352,80.34739880445326,6799,3,10,2,2,2.0,0,0,10172.56,2,5.607899160786346,100,Clear,0.0,Critical,89.4
NUNGAMBAKKAM_Z014,Nungambakkam,12.99678322616991,80.21248374352308,7544,8,4,7,4,12.0,19,1,15739.98,3,9.237318667152312,100,Clear,0.0,Critical,98.6
KODAMBAKKAM_Z015,Kodambakkam,12.983736972554798,80.29627888298974,5154,2,1,2,18,4.0,8,0,6329.42,2,25.23402888696284,500,Clear,0.0,Critical,81.63
VELACHERY_Z016,Velachery,12.990466946885885,80.23135310293465,5399,2,11,3,16,1.0,1,0,7570.93,2,8.876040418193604,1600,Storm,2.0,Critical,85.01
KODAMBAKKAM_Z017,Kodambakkam,12.990913503353577,80.25046418028896,7311,1,11,4,13,3.0,3,0,10810.6,2,22.487805269179844,1000,Clear,0.0,Medium,54.29
TRIPLICANE_Z018,Triplicane,13.130279383339154,80.28157081050229,9369,1,1,5,10,3.0,0,0,9331.09,1,11.256072454114882,100,Rain,1.0,Medium,59.1
ANNA_NAGAR_Z019,Anna Nagar,13.144082595410158,80.23996086421789,5153,5,4,6,15,0.5,14,0,4184.3,0,26.38651460027518,1000,Clear,0.0,Critical,95.27
