zone_id,district,latitude,longitude,population_density,hospital_count,industry_count,school_count,atm_count,outage_duration_hours,outage_hour,is_peak_hour,load_demand_kw,historical_outages,equipment_age_years,transformer_capacity_kva,weather_condition,weather_encoded,risk_level,impact_score
NUNGAMBAKKAM_Z000,Nungambakkam,13.051881604753895,80.2605285722564,6130,7,4,7,12,2.0,20,1,7361.01,2,29.24774630404986,1000,Hot,0.5,Critical,99.84
ANNA_NAGAR_Z001,Anna Nagar,13.08969926038511,80.21456612641953,7300,6,8,1,11,0.5,15,0,8867.24,1,20.45965023332718,1000,Clear,0.0,Critical,80.93
TAMBARAM_Z002,Tambaram,12.929201794076057,80.08682096494749,4214,1,3,1,15,4.0,8,0,3731.19,0,10.772345640553725,1000,Clear,0.0,Medium,49.9
VELACHERY_Z003,Velachery,12.956375540844608,80.23737281608315,6955,2,7,4,3,2.0,21,1,11231.68,1,29.239615694113965,250,Clear,0.0,Critical,98.53
EGMORE_Z004,Egmore,13.082290879834257,80.25396163075224,11533,6,0,6,9,4.0,12,0,10560.62,3,18.567402078956214,100,Clear,0.0,Critical,80.31
EGMORE_Z005,Egmore,13.070136059228254,80.25669526072703,10695,5,2,1,9,3.0,0,0,13329.07,6,14.270456304956658,1600,Rain,1.0,Critical,97.74
SAIDAPET_Z006,Saidapet,13.019888597006478,80.20788376983754,6485,3,0,5,15,2.0,8,0,8076.99,1,15.983412546644253,500,Clear,0.0,Critical,86.29
T_NAGAR_Z007,T Nagar,13.042142827646588,80.25040265895704,11478,7,2,5,5,8.0,6,0,10030.0,1,28.242441308564327,1600,Clear,0.0,Critical,89.13
GUINDY_Z008,Guindy,12.995437617488674,80.21726039791481,6981,5,9,7,8,6.0,0,0,8968.53,4,17.768682564439143,100,Clear,0.0,Critical,85.39
ANNA_NAGAR_Z009,Anna Nagar,13.074765020889911,80.19683164168691,6631,3,3,1,18,1.0,11,1,14756.93,2,12.12101235943669,100,Clear,0.0,Critical,88.22
VELACHERY_Z010,Velachery,12.956322029316022,80.21480284992107,7432,3,13,2,13,2.0,5,0,9241.47,2,10.940938599809993,1600,Rain,1.0,Critical,90.72
MYLAPORE_Z011,Mylapore,13.017511590802176,80.27468790017645,9147,3,4,3,5,0.5,2,0,11643.98,2,28.5130816122401,250,Storm,2.0,Critical,94.7
ANNA_NAGAR_Z012,Anna Nagar,13.073362864829509,80.2117579189531,6634,6,9,1,18,1.0,15,0,7185.65,4,22.50894574931928,500,Storm,2.0,Critical,97.76
ADYAR_Z013,Adyar,13.0207371379507,80.27437460023117,6443,2,7,4,4,1.0,2,0,6165.88,2,17.140343839655664,500,Rain,1.0,Critical,94.24
NUNGAMBAKKAM_Z014,Nungambakkam,13.046389963499873,80.23551598792638,6527,5,0,1,17,0.5,18,1,11277.15,4,27.65246969296385,500,Rain,1.0,Critical,91.54
KODAMBAKKAM_Z015,Kodambakkam,13.052200707752755,80.21310971951192,5815,3,3,3,18,0.5,11,1,10472.27,4,28.207964064693133,100,Clear,0.0,Critical,99.61
VELACHERY_Z016,Velachery,12.958013850240246,80.21322788077148,7975,3,0,3,19,2.0,21,1,12042.69,2,20.375180667479242,250,Clear,0.0,Critical,86.45
KODAMBAKKAM_Z017,Kodambakkam,13.066446791796988,80.21076485325769,5245,3,12,2,4,1.0,23,0,4297.39,4,22.549171931442583,1000,Storm,2.0,Critical,91.58
TRIPLICANE_Z018,Triplicane,13.051838964920723,80.2651189545882,8050,1,1,7,18,0.5,5,0,9949.99,2,25.696725094689718,1000,Clear,0.0,Medium,41.71
ANNA_NAGAR_Z019,Anna Nagar,13.067067268846746,80.21135418526272,5046,5,6,4,17,12.0,9,1,6483.69,3,6.961409533556649,1600,Clear,0.0,Critical,88.57
TRIPLICANE_Z020,Triplicane,13.061839996030614,80.26032774382034,8633,1,1,6,17,1.0,12,0,9057.58,3,20.293018655858805,500,Clear,0.0,Medium,55.16
EGMORE_Z021,Egmore,13.05377573954519,80.24554290562028,9092,3,3,5,13,0.5,15,0,9657.78,4,28.72864328978465,1000,Clear,0.0,Critical,92.52
PORUR_Z022,Porur,13.035925450343203,80.17065959364754,3348,1,3,7,3,0.5,19,1,6901.73,3,18.640419732898373,1600,Rain,1.0,Medium,53.03
ADYAR_Z023,Adyar,12.99496737439507,80.24915844509285,5011,3,13,2,19,3.0,16,0,5230.66,3,11.517363205897578,1000,Rain,1.0,Critical,98.73
TONDIARPET_Z024,Tondiarpet,13.110567453067025,80.26858215873139,4808,1,9,5,10,2.0,2,0,6134.49,3,13.520088506325447,1600,Clear,0.0,Medium,54.8
PORUR_Z025,Porur,13.025329446096158,80.15150915544706,4109,1,5,5,18,0.5,8,0,5020.0,4,17.325641444295123,1600,Clear,0.0,Medium,51.07
T_NAGAR_Z026,T Nagar,13.03030911580097,80.25194778171526,9167,3,4,5,11,12.0,13,0,12896.21,4,8.574792051320896,250,Storm,2.0,Critical,96.77
T_NAGAR_Z027,T Nagar,13.038843659001879,80.22300305670284,9416,4,2,2,3,0.5,4,0,10012.8,4,27.692342658713656,1600,Rain,1.0,Critical,81.67
TRIPLICANE_Z028,Triplicane,13.065385876637096,80.26966383001057,8090,2,1,3,8,2.0,12,0,10816.62,0,16.716516049853155,250,Rain,1.0,Critical,96.46
NUNGAMBAKKAM_Z029,Nungambakkam,13.066668466277733,80.24974157708388,7395,8,8,7,18,0.5,0,0,6140.66,2,29.246970667690977,1600,Clear,0.0,Critical,98.49
TRIPLICANE_Z030,Triplicane,13.071064628611145,80.26811960671958,9682,1,1,7,10,1.0,14,0,10020.5,4,12.024079739805758,1000,Clear,0.0,Medium,43.39
EGMORE_Z031,Egmore,13.079073934466749,80.2564307353596,11387,4,3,4,6,12.0,21,1,21851.29,0,11.994087679223643,1600,Storm,2.0,Critical,83.25
KODAMBAKKAM_Z032,Kodambakkam,13.068937087379753,80.23820148971693,6617,3,4,7,3,0.5,17,0,9857.35,1,15.281377914634227,100,Clear,0.0,Critical,87.53
TONDIARPET_Z033,Tondiarpet,13.138983131999042,80.26958042204086,4874,0,0,5,2,2.0,2,0,7310.04,0,5.341799120674932,1000,Storm,2.0,Medium,59.93
PORUR_Z034,Porur,13.038017268224106,80.16715949660723,4724,2,9,3,18,1.0,8,0,6683.3,0,28.85127568146806,1600,Clear,0.0,Critical,95.14
KODAMBAKKAM_Z035,Kodambakkam,13.034375858711648,80.21604689928101,6574,2,9,2,4,2.0,11,1,8087.48,2,24.795445986740823,100,Clear,0.0,Critical,95.1
TRIPLICANE_Z036,Triplicane,13.059112382054138,80.26383680927604,8434,3,3,2,7,3.0,17,0,9838.44,3,17.84973722899527,1000,Clear,0.0,Critical,93.95
NUNGAMBAKKAM_Z037,Nungambakkam,13.068758871026956,80.24087387231785,6353,3,11,4,6,12.0,20,1,11524.37,2,13.539080261413625,100,Clear,0.0,Critical,88.01
TRIPLICANE_Z038,Triplicane,13.062206702947877,80.26520269089397,10947,1,2,3,19,3.0,18,1,13501.97,0,9.223376576804114,1000,Clear,0.0,Medium,50.97
KODAMBAKKAM_Z039,Kodambakkam,13.053876940149301,80.21953965937088,7593,1,13,2,14,1.0,14,0,10689.51,1,26.83946560266943,1600,Clear,0.0,Medium,41.69
EGMORE_Z040,Egmore,13.077091123290217,80.26964972016533,8302,8,1,4,15,2.0,12,0,9615.16,1,8.327923214686956,500,Storm,2.0,Critical,90.64
ANNA_NAGAR_Z041,Anna Nagar,13.069286880453593,80.20799649467294,7786,5,14,1,6,1.0,6,0,8812.03,2,7.99405329548128,100,Clear,0.0,Critical,87.1
VELACHERY_Z042,Velachery,12.980952913611663,80.22018328407017,7275,3,5,2,16,3.0,16,0,8357.33,2,27.49118492862531,250,Clear,0.0,Critical,86.61
TAMBARAM_Z043,Tambaram,12.942247672950394,80.08030137452536,4324,1,5,7,17,1.0,10,1,7570.19,0,25.146622168528587,100,Clear,0.0,Medium,48.21
T_NAGAR_Z044,T Nagar,13.061095144676344,80.21858155608672,11393,6,3,3,5,0.5,21,1,20072.06,1,21.716080498110774,100,Rain,1.0,Critical,89.53
VELACHERY_Z045,Velachery,12.988543302348104,80.20920310240598,6433,2,3,3,2,3.0,11,1,14015.03,0,20.265501061040816,1600,Clear,0.0,Critical,86.41
T_NAGAR_Z046,T Nagar,13.045555323902317,80.22886921926039,10039,4,4,7,11,12.0,12,0,11345.11,2,5.067772485358242,100,Clear,0.0,Critical,88.24
TAMBARAM_Z047,Tambaram,12.91885473066172,80.1171811657699,4365,1,11,2,15,8.0,10,1,5878.61,2,23.528016232251478,1000,Storm,2.0,Critical,95.91
NUNGAMBAKKAM_Z048,Nungambakkam,13.04496509280191,80.22904623771464,5724,7,4,3,15,2.0,3,0,7574.72,4,27.491686132304327,1600,Clear,0.0,Critical,90.05
PORUR_Z049,Porur,13.025088507805872,80.17238298293098,2502,2,13,5,9,1.0,6,0,2245.52,0,28.495803090336878,500,Clear,0.0,Critical,95.88
PORUR_Z050,Porur,13.04060291023714,80.15773844367905,3254,3,3,5,7,4.0,4,0,4600.3,1,10.113614829236582,250,Rain,1.0,Critical,86.84
ADYAR_Z051,Adyar,13.019550292186882,80.24262526947821,7275,1,7,4,16,4.0,4,0,7102.29,3,19.961067530130677,1000,Clear,0.0,Medium,46.91
VELACHERY_Z052,Velachery,12.962263908672057,80.23733802245334,7597,2,7,7,16,1.0,10,1,14908.36,1,17.64721697211165,100,Clear,0.0,Critical,91.86
SAIDAPET_Z053,Saidapet,13.00508850656901,80.23985002089043,7935,1,7,7,11,4.0,8,0,7382.92,4,7.830951146018881,1600,Clear,0.0,Medium,56.75
NUNGAMBAKKAM_Z054,Nungambakkam,13.050185856506198,80.23495777056183,7418,7,14,1,10,1.0,20,1,12646.79,2,26.587953515323925,250,Clear,0.0,Critical,98.37
